StartTime,EndTime,AreaID,UnitName,PsrType,quantity,hourly_time
2022-01-02 17:00:00+00:00,2022-01-02 18:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7780,2022-01-02 17:00:00+00:00
2022-01-02 18:00:00+00:00,2022-01-02 19:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7787,2022-01-02 18:00:00+00:00
2022-01-02 19:00:00+00:00,2022-01-02 20:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7788,2022-01-02 19:00:00+00:00
2022-01-02 20:00:00+00:00,2022-01-02 21:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7796,2022-01-02 20:00:00+00:00
2022-01-02 21:00:00+00:00,2022-01-02 22:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7802,2022-01-02 21:00:00+00:00
2022-01-02 22:00:00+00:00,2022-01-02 23:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7792,2022-01-02 22:00:00+00:00
2022-01-02 23:00:00+00:00,2022-01-03 00:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7776,2022-01-02 23:00:00+00:00
2022-01-03 00:00:00+00:00,2022-01-03 01:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7785,2022-01-03 00:00:00+00:00
2022-01-03 01:00:00+00:00,2022-01-03 02:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7790,2022-01-03 01:00:00+00:00
2022-01-03 02:00:00+00:00,2022-01-03 03:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7784,2022-01-03 02:00:00+00:00
2022-01-03 03:00:00+00:00,2022-01-03 04:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7784,2022-01-03 03:00:00+00:00
2022-01-03 04:00:00+00:00,2022-01-03 05:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7788,2022-01-03 04:00:00+00:00
2022-01-03 05:00:00+00:00,2022-01-03 06:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7783,2022-01-03 05:00:00+00:00
2022-01-03 06:00:00+00:00,2022-01-03 07:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7786,2022-01-03 06:00:00+00:00
2022-01-03 07:00:00+00:00,2022-01-03 08:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7792,2022-01-03 07:00:00+00:00
2022-01-03 08:00:00+00:00,2022-01-03 09:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7791,2022-01-03 08:00:00+00:00
2022-01-03 09:00:00+00:00,2022-01-03 10:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7785,2022-01-03 09:00:00+00:00
2022-01-03 10:00:00+00:00,2022-01-03 11:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7786,2022-01-03 10:00:00+00:00
2022-01-03 11:00:00+00:00,2022-01-03 12:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7785,2022-01-03 11:00:00+00:00
2022-01-03 12:00:00+00:00,2022-01-03 13:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7793,2022-01-03 12:00:00+00:00
2022-01-03 13:00:00+00:00,2022-01-03 14:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7790,2022-01-03 13:00:00+00:00
2022-01-03 14:00:00+00:00,2022-01-03 15:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7788,2022-01-03 14:00:00+00:00
2022-01-03 15:00:00+00:00,2022-01-03 16:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7788,2022-01-03 15:00:00+00:00
2022-01-03 16:00:00+00:00,2022-01-03 17:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7790,2022-01-03 16:00:00+00:00
2022-01-03 17:00:00+00:00,2022-01-03 18:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7790,2022-01-03 17:00:00+00:00
2022-01-03 18:00:00+00:00,2022-01-03 19:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7792,2022-01-03 18:00:00+00:00
2022-01-03 19:00:00+00:00,2022-01-03 20:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7795,2022-01-03 19:00:00+00:00
2022-01-03 20:00:00+00:00,2022-01-03 21:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7788,2022-01-03 20:00:00+00:00
2022-01-03 21:00:00+00:00,2022-01-03 22:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7786,2022-01-03 21:00:00+00:00
2022-01-03 22:00:00+00:00,2022-01-03 23:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7784,2022-01-03 22:00:00+00:00
2022-01-03 23:00:00+00:00,2022-01-04 00:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7795,2022-01-03 23:00:00+00:00
2022-01-04 00:00:00+00:00,2022-01-04 01:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7812,2022-01-04 00:00:00+00:00
2022-01-04 01:00:00+00:00,2022-01-04 02:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7806,2022-01-04 01:00:00+00:00
2022-01-04 02:00:00+00:00,2022-01-04 03:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7627,2022-01-04 02:00:00+00:00
2022-01-04 03:00:00+00:00,2022-01-04 04:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7375,2022-01-04 03:00:00+00:00
2022-01-04 04:00:00+00:00,2022-01-04 05:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7126,2022-01-04 04:00:00+00:00
2022-01-04 05:00:00+00:00,2022-01-04 06:00:00+00:00,10YHU-MAVIR----U,MAW,B14,6867,2022-01-04 05:00:00+00:00
2022-01-04 06:00:00+00:00,2022-01-04 07:00:00+00:00,10YHU-MAVIR----U,MAW,B14,6783,2022-01-04 06:00:00+00:00
2022-01-04 07:00:00+00:00,2022-01-04 08:00:00+00:00,10YHU-MAVIR----U,MAW,B14,6777,2022-01-04 07:00:00+00:00
2022-01-04 08:00:00+00:00,2022-01-04 09:00:00+00:00,10YHU-MAVIR----U,MAW,B14,6895,2022-01-04 08:00:00+00:00
2022-01-04 09:00:00+00:00,2022-01-04 10:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7028,2022-01-04 09:00:00+00:00
2022-01-04 10:00:00+00:00,2022-01-04 11:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7153,2022-01-04 10:00:00+00:00
2022-01-04 11:00:00+00:00,2022-01-04 12:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7266,2022-01-04 11:00:00+00:00
2022-01-04 12:00:00+00:00,2022-01-04 13:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7386,2022-01-04 12:00:00+00:00
2022-01-04 13:00:00+00:00,2022-01-04 14:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7509,2022-01-04 13:00:00+00:00
2022-01-04 14:00:00+00:00,2022-01-04 15:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7632,2022-01-04 14:00:00+00:00
2022-01-04 15:00:00+00:00,2022-01-04 16:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7757,2022-01-04 15:00:00+00:00
2022-01-04 16:00:00+00:00,2022-01-04 17:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7800,2022-01-04 16:00:00+00:00
2022-01-04 17:00:00+00:00,2022-01-04 18:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7797,2022-01-04 17:00:00+00:00
2022-01-04 18:00:00+00:00,2022-01-04 19:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7799,2022-01-04 18:00:00+00:00
2022-01-04 19:00:00+00:00,2022-01-04 20:00:00+00:00,10YHU-MAVIR----U,MAW,B14,7796,2022-01-04 19:00:00+00:00
