StartTime,EndTime,AreaID,UnitName,PsrType,quantity,hourly_time
2021-12-31 23:00:00+00:00,2022-01-01 00:00:00+00:00,10YSE-1--------K,MAW,B14,5842,2021-12-31 23:00:00+00:00
2022-01-01 00:00:00+00:00,2022-01-01 01:00:00+00:00,10YSE-1--------K,MAW,B14,5839,2022-01-01 00:00:00+00:00
2022-01-01 01:00:00+00:00,2022-01-01 02:00:00+00:00,10YSE-1--------K,MAW,B14,5839,2022-01-01 01:00:00+00:00
2022-01-01 02:00:00+00:00,2022-01-01 03:00:00+00:00,10YSE-1--------K,MAW,B14,5840,2022-01-01 02:00:00+00:00
2022-01-01 03:00:00+00:00,2022-01-01 04:00:00+00:00,10YSE-1--------K,MAW,B14,5839,2022-01-01 03:00:00+00:00
2022-01-01 04:00:00+00:00,2022-01-01 05:00:00+00:00,10YSE-1--------K,MAW,B14,5839,2022-01-01 04:00:00+00:00
2022-01-01 05:00:00+00:00,2022-01-01 06:00:00+00:00,10YSE-1--------K,MAW,B14,5840,2022-01-01 05:00:00+00:00
2022-01-01 06:00:00+00:00,2022-01-01 07:00:00+00:00,10YSE-1--------K,MAW,B14,5840,2022-01-01 06:00:00+00:00
2022-01-01 07:00:00+00:00,2022-01-01 08:00:00+00:00,10YSE-1--------K,MAW,B14,5840,2022-01-01 07:00:00+00:00
2022-01-01 08:00:00+00:00,2022-01-01 09:00:00+00:00,10YSE-1--------K,MAW,B14,5840,2022-01-01 08:00:00+00:00
2022-01-01 09:00:00+00:00,2022-01-01 10:00:00+00:00,10YSE-1--------K,MAW,B14,5884,2022-01-01 09:00:00+00:00
2022-01-01 10:00:00+00:00,2022-01-01 11:00:00+00:00,10YSE-1--------K,MAW,B14,6062,2022-01-01 10:00:00+00:00
2022-01-01 11:00:00+00:00,2022-01-01 12:00:00+00:00,10YSE-1--------K,MAW,B14,6208,2022-01-01 11:00:00+00:00
2022-01-01 12:00:00+00:00,2022-01-01 13:00:00+00:00,10YSE-1--------K,MAW,B14,6275,2022-01-01 12:00:00+00:00
2022-01-01 13:00:00+00:00,2022-01-01 14:00:00+00:00,10YSE-1--------K,MAW,B14,6275,2022-01-01 13:00:00+00:00
