,StartTime,quantity
0,2021-12-31 23:00:00+00:00,268
1,2022-01-01 00:00:00+00:00,265
2,2022-01-01 01:00:00+00:00,266
3,2022-01-01 02:00:00+00:00,260
4,2022-01-01 03:00:00+00:00,266
5,2022-01-01 04:00:00+00:00,268
6,2022-01-01 05:00:00+00:00,267
7,2022-01-01 06:00:00+00:00,268
8,2022-01-01 07:00:00+00:00,269
9,2022-01-01 08:00:00+00:00,269
10,2022-01-01 09:00:00+00:00,272
11,2022-01-01 10:00:00+00:00,267
12,2022-01-01 11:00:00+00:00,272
13,2022-01-01 12:00:00+00:00,271
14,2022-01-01 13:00:00+00:00,269
15,2022-01-01 14:00:00+00:00,266
16,2022-01-01 15:00:00+00:00,265
17,2022-01-01 16:00:00+00:00,262
18,2022-01-01 17:00:00+00:00,265
19,2022-01-01 18:00:00+00:00,266
20,2022-01-01 19:00:00+00:00,276
21,2022-01-01 20:00:00+00:00,272
22,2022-01-01 21:00:00+00:00,271
23,2022-01-01 22:00:00+00:00,269
24,2022-01-01 23:00:00+00:00,264
25,2022-01-02 00:00:00+00:00,266
26,2022-01-02 01:00:00+00:00,264
27,2022-01-02 02:00:00+00:00,264
28,2022-01-02 03:00:00+00:00,263
29,2022-01-02 04:00:00+00:00,262
30,2022-01-02 05:00:00+00:00,263
31,2022-01-02 06:00:00+00:00,267
32,2022-01-02 07:00:00+00:00,265
33,2022-01-02 08:00:00+00:00,261
34,2022-01-02 09:00:00+00:00,264
35,2022-01-02 10:00:00+00:00,267
36,2022-01-02 11:00:00+00:00,266
37,2022-01-02 12:00:00+00:00,266
38,2022-01-02 13:00:00+00:00,260
39,2022-01-02 14:00:00+00:00,268
40,2022-01-02 15:00:00+00:00,268
41,2022-01-02 16:00:00+00:00,270
42,2022-01-02 17:00:00+00:00,273
43,2022-01-02 18:00:00+00:00,286
44,2022-01-02 19:00:00+00:00,298
45,2022-01-02 20:00:00+00:00,296
46,2022-01-02 21:00:00+00:00,293
47,2022-01-02 22:00:00+00:00,295
48,2022-01-02 23:00:00+00:00,291
49,2022-01-03 00:00:00+00:00,293
50,2022-01-03 01:00:00+00:00,285
51,2022-01-03 02:00:00+00:00,277
52,2022-01-03 03:00:00+00:00,274
53,2022-01-03 04:00:00+00:00,277
54,2022-01-03 05:00:00+00:00,279
55,2022-01-03 06:00:00+00:00,283
56,2022-01-03 07:00:00+00:00,276
57,2022-01-03 08:00:00+00:00,283
58,2022-01-03 09:00:00+00:00,284
59,2022-01-03 10:00:00+00:00,283
60,2022-01-03 11:00:00+00:00,286
61,2022-01-03 12:00:00+00:00,286
62,2022-01-03 13:00:00+00:00,285
63,2022-01-03 14:00:00+00:00,280
64,2022-01-03 15:00:00+00:00,281
65,2022-01-03 16:00:00+00:00,278
66,2022-01-03 17:00:00+00:00,281
67,2022-01-03 18:00:00+00:00,279
68,2022-01-03 19:00:00+00:00,283
69,2022-01-03 20:00:00+00:00,273
70,2022-01-03 21:00:00+00:00,274
71,2022-01-03 22:00:00+00:00,271
72,2022-01-03 23:00:00+00:00,268
73,2022-01-04 00:00:00+00:00,271
74,2022-01-04 01:00:00+00:00,266
75,2022-01-04 02:00:00+00:00,271
76,2022-01-04 03:00:00+00:00,274
77,2022-01-04 04:00:00+00:00,283
78,2022-01-04 05:00:00+00:00,286
79,2022-01-04 06:00:00+00:00,286
80,2022-01-04 07:00:00+00:00,287
81,2022-01-04 08:00:00+00:00,281
82,2022-01-04 09:00:00+00:00,272
83,2022-01-04 10:00:00+00:00,274
84,2022-01-04 11:00:00+00:00,288
85,2022-01-04 12:00:00+00:00,289
86,2022-01-04 13:00:00+00:00,287
87,2022-01-04 14:00:00+00:00,293
88,2022-01-04 15:00:00+00:00,295
89,2022-01-04 16:00:00+00:00,301
90,2022-01-04 17:00:00+00:00,305
91,2022-01-04 18:00:00+00:00,303
92,2022-01-04 19:00:00+00:00,308
93,2022-01-04 20:00:00+00:00,307
94,2022-01-04 21:00:00+00:00,301
95,2022-01-04 22:00:00+00:00,294
96,2022-01-04 23:00:00+00:00,294
97,2022-01-05 00:00:00+00:00,298
