StartTime,EndTime,AreaID,UnitName,quantity_B19,hourly_time,total_green_energy,Load
2022-01-29 06:00:00+00:00,2022-01-29 07:00:00+00:00,10Y1001A1001A92E,MAW,3118,2022-01-29 06:00:00+00:00,3118,990.0
2022-01-29 07:00:00+00:00,2022-01-29 08:00:00+00:00,10Y1001A1001A92E,MAW,3341,2022-01-29 07:00:00+00:00,3341,1170.0
2022-01-29 08:00:00+00:00,2022-01-29 09:00:00+00:00,10Y1001A1001A92E,MAW,3607,2022-01-29 08:00:00+00:00,3607,1341.0
2022-01-29 09:00:00+00:00,2022-01-29 10:00:00+00:00,10Y1001A1001A92E,MAW,3644,2022-01-29 09:00:00+00:00,3644,1489.0
2022-01-29 10:00:00+00:00,2022-01-29 11:00:00+00:00,10Y1001A1001A92E,MAW,3708,2022-01-29 10:00:00+00:00,3708,1670.0
2022-01-29 11:00:00+00:00,2022-01-29 12:00:00+00:00,10Y1001A1001A92E,MAW,3502,2022-01-29 11:00:00+00:00,3502,1781.0
2022-01-29 12:00:00+00:00,2022-01-29 13:00:00+00:00,10Y1001A1001A92E,MAW,3500,2022-01-29 12:00:00+00:00,3500,1857.0
2022-01-29 13:00:00+00:00,2022-01-29 14:00:00+00:00,10Y1001A1001A92E,MAW,2996,2022-01-29 13:00:00+00:00,2996,1969.0
2022-01-29 14:00:00+00:00,2022-01-29 15:00:00+00:00,10Y1001A1001A92E,MAW,2036,2022-01-29 14:00:00+00:00,2036,1979.0
2022-01-29 15:00:00+00:00,2022-01-29 16:00:00+00:00,10Y1001A1001A92E,MAW,1928,2022-01-29 15:00:00+00:00,1928,1979.0
2022-01-29 16:00:00+00:00,2022-01-29 17:00:00+00:00,10Y1001A1001A92E,MAW,1807,2022-01-29 16:00:00+00:00,1807,2046.0
2022-01-29 17:00:00+00:00,2022-01-29 18:00:00+00:00,10Y1001A1001A92E,MAW,1309,2022-01-29 17:00:00+00:00,1309,2398.0
2022-01-29 18:00:00+00:00,2022-01-29 19:00:00+00:00,10Y1001A1001A92E,MAW,1295,2022-01-29 18:00:00+00:00,1295,2500.0
2022-01-29 19:00:00+00:00,2022-01-29 20:00:00+00:00,10Y1001A1001A92E,MAW,912,2022-01-29 19:00:00+00:00,912,2291.0
2022-01-29 20:00:00+00:00,2022-01-29 21:00:00+00:00,10Y1001A1001A92E,MAW,708,2022-01-29 20:00:00+00:00,708,2150.0
2022-01-29 21:00:00+00:00,2022-01-29 22:00:00+00:00,10Y1001A1001A92E,MAW,523,2022-01-29 21:00:00+00:00,523,1984.0
2022-01-29 22:00:00+00:00,2022-01-29 23:00:00+00:00,10Y1001A1001A92E,MAW,380,2022-01-29 22:00:00+00:00,380,1792.0
2022-01-29 23:00:00+00:00,2022-01-30 00:00:00+00:00,10Y1001A1001A92E,MAW,115,2022-01-29 23:00:00+00:00,115,1587.0
